ROM;Clone of;Name;Year;Status;Comment
shangon;;Super Hang-On (set 4, 68000);1987;can_be_fixed;"52 differences (can_be_fixed): 
 - rom [epr10642.47] wrong name (epr10642.47/expected: mpr10642.47)
 - rom [epr10688.10] unnecessary
 - rom [epr10687.11] unnecessary
 - rom [ic117] unnecessary
 - rom [ic118] unnecessary
 - rom [epr10686.12] unnecessary
 - rom [epr10685.13] unnecessary
 - rom [ic132] unnecessary
 - rom [ic133] unnecessary
 - rom [epr10684.14] unnecessary
 - rom [epr10683.15] unnecessary
 - rom [epr10682.16] unnecessary
 - rom [epr10681.2] unnecessary
 - rom [epr10680.3] unnecessary
 - rom [epr10679.4] unnecessary
 - rom [epr10678.5] unnecessary
 - rom [epr10639.57] unnecessary
 - rom [epr10638.58] unnecessary
 - rom [epr10677.6] unnecessary
 - rom [epr10676.7] unnecessary
 - rom [epr10640.76] unnecessary
 - rom [epr10675.8] unnecessary
 - rom [ic88] unnecessary
 - rom [s-hangon.08] unnecessary
 - rom [s-hangon.02] unnecessary
 - rom [s-hangon.03] unnecessary
 - rom [s-hangon.04] unnecessary
 - rom [s-hangon.05] unnecessary
 - rom [s-hangon.01] unnecessary
 - rom [s-hangon.09] unnecessary
 - rom [s-hangon.14] unnecessary
 - rom [s-hangon.20] unnecessary
 - rom [s-hangon.26] unnecessary
 - rom [s-hangon.29] unnecessary
 - rom [s-hangon.30] unnecessary
 - rom [s-hangon.31] unnecessary
 - rom [s-hangon.32] unnecessary
 - rom [epr10641.75] unnecessary
 - rom [epr10897.117] unnecessary
 - rom [epr10899.132] unnecessary
 - rom [epr13943.118] unnecessary
 - rom [epr13944.133] unnecessary
 - rom [epr13945.7] unnecessary
 - rom [epr13946.15] unnecessary
 - rom [epr10634a.118] unnecessary
 - rom [epr10635a.117] unnecessary
 - rom [epr10636a.133] unnecessary
 - rom [epr10637a.132] unnecessary
 - rom [6844.rom] unnecessary
 - rom [epr10649a.88] unnecessary
 - rom [epr10788.118] unnecessary
 - rom [epr10789.133] unnecessary"
sharrier;;Space Harrier (Rev A, 8751 315-5163A);1985;incompatible;"6 differences (incompatible): 
 - rom [epr7184.84] unnecessary
 - rom [epr7188.97] unnecessary
 - rom [epr7188a.97] missing
 - rom [epr7184a.84] missing
 - rom [mcu.bin] missing
 - rom [sic123.bin] missing"
shdancer;;Shadow Dancer (set 3, US);1989;matches;"matches"
shinobi;;Shinobi (set 5, System 16A, unprotected);1987;incompatible;"18 differences (incompatible): 
 - rom [epr11283.a5] wrong name (epr11283.a5/expected: epr12011.42)
 - rom [epr11281.a2] wrong name (epr11281.a2/expected: epr12009.25)
 - rom [epr11286.b11] unnecessary
 - rom [epr11298.a1] unnecessary
 - rom [epr11284.b9] unnecessary
 - rom [epr11299.a4] unnecessary
 - rom [epr11285.b10] unnecessary
 - rom [shinobi.a7] unnecessary
 - rom [epr11288.a8] unnecessary
 - rom [epr11289.a9] unnecessary
 - rom [epr12010.43] missing
 - rom [epr12008.26] missing
 - rom [epr11264.95] missing
 - rom [epr11265.94] missing
 - rom [epr11266.93] missing
 - rom [epr11267.12] missing
 - rom [7751.bin] missing
 - rom [epr11268.1] missing"
shootout;;Shoot Out (US);1985;matches;"matches"
sidepckt;;Side Pocket (World);1986;matches;"matches"
simpsons;;The Simpsons (4 Players);1991;compatible;"11 differences (compatible): 
 - rom [simp_012.15c] unnecessary
 - rom [simp_013.13c] unnecessary
 - rom [simp_p01.17c] unnecessary
 - rom [072-212.15c] unnecessary
 - rom [072-213.13c] unnecessary
 - rom [072-s02.16c] unnecessary
 - rom [072-t01.17c] unnecessary
 - rom [072-g03.6g] unnecessary
 - rom [simp4.13c] unnecessary
 - rom [simp3.15c] unnecessary
 - rom [simp1.17c] unnecessary"
slapfigh;;Slap Fight (set 1);1986;matches;"matches"
snowbro2;;Snow Bros. 2 - With New Elves / Otenki Paradise;1994;matches;"matches"
snowbros;;Snow Bros. - Nick & Tom (set 1);1990;incompatible;"5 differences (incompatible): 
 - rom [ch0] unnecessary
 - rom [ch1] unnecessary
 - rom [ch2] unnecessary
 - rom [ch3] unnecessary
 - rom [sbros-1.41] missing"
soccerss;;Soccer Superstars (ver EAA);1994;incompatible;"5 differences (incompatible): 
 - rom [427jaa03.30m] unnecessary
 - rom [427jaa02.28m] unnecessary
 - rom [300a01.34k] missing
 - rom [427ea_c02.28m] missing
 - rom [427ea_c03.30m] missing"
solomon;;Solomon's Key (Japan);1986;matches;"matches"
sonicwi2;;Aero Fighters 2 / Sonic Wings 2;1994;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
sonicwi3;;Aero Fighters 3 / Sonic Wings 3;1995;incompatible;"13 differences (incompatible): 
 - rom [097-c2.bin] wrong CRC (1da4b3a9/expected: 186f8b43)
 - rom [097-c1.bin] wrong CRC (3ca97864/expected: 33d0d589)
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
soulclbr;;Soul Calibur (SOC14/VER.C);1998;matches;"matches"
spdodgeb;;Super Dodge Ball (US);1987;matches;"matches"
speedrcr;;Speed Racer;1995;matches;"matches"
spf2t;;Super Puzzle Fighter II Turbo (US 960620);1996;matches;"matches"
splatter;;Splatter House (World);1988;compatible;"2 differences (compatible): 
 - rom [sh1_prg6.bin] unnecessary
 - rom [sh1_prg7.bin] unnecessary"
spnchout;;Super Punch-Out!!;1984;matches;"matches"
spool3;pcktgal;Super Pool III (World?);1989;incompatible;"3 differences (incompatible): 
 - rom [eb00.rom] missing
 - rom [eb05.rom] missing
 - rom [eb06.rom] missing"
spyhunt;;Spy Hunter;1983;incompatible;"2 differences (incompatible): 
 - rom [cpu_pg5.11d] wrong CRC (88aa1e99/expected: 53a4f7cd)
 - rom [82s123.12d] missing"
spyhunt2;;Spy Hunter 2 (rev 2);1987;matches;"matches"
sqix;;Super Qix (set 1);1987;incompatible;"3 differences (incompatible): 
 - rom [sq07.108] wrong CRC (071a598c/expected: 8be4d2a8)
 - rom [sq01.97] unnecessary
 - rom [b03-01-1] missing"
srally2;;Sega Rally 2;1998;matches;"matches"
ssf2;;Super Street Fighter II: The New Challengers (World 930911);1993;matches;"matches"
ssideki2;;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football;1994;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
ssprint;;Super Sprint (rev 4);1986;incompatible;"2 differences (incompatible): 
 - rom [136042-218.6t] unnecessary
 - rom [136042-118.6t] missing"
ssriders;;Sunset Riders (4 Players ver EAC);1991;compatible;"22 differences (compatible): 
 - rom [sr_c02.rom] unnecessary
 - rom [sr_c03.rom] unnecessary
 - rom [064abd02.8e] unnecessary
 - rom [064abd03.8g] unnecessary
 - rom [2pl.8e] unnecessary
 - rom [2pl.8g] unnecessary
 - rom [064jbd02.8e] unnecessary
 - rom [064jbd03.8g] unnecessary
 - rom [064ebd02] unnecessary
 - rom [064ebd03] unnecessary
 - rom [064uac02] unnecessary
 - rom [064uac03] unnecessary
 - rom [064uda02] unnecessary
 - rom [064uda03] unnecessary
 - rom [sunsetb.05] unnecessary
 - rom [sunsetb.02] unnecessary
 - rom [sunsetb.03] unnecessary
 - rom [sunsetb.04] unnecessary
 - rom [sunsetb.01] unnecessary
 - rom [sunsetb.06] unnecessary
 - rom [sunsetb.07] unnecessary
 - rom [sunsetb.08] unnecessary"
strhoop;;Street Hoop / Street Slam / Dunk Dream;1994;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
strider2;;Strider 2 (USA 991213);1999;incompatible;"1 differences (incompatible): 
 - rom [coh-3002c.353] missing"
stvbios;;ST-V Bios;1996;incompatible;"2 differences (incompatible): 
 - rom [stv1061.bin] missing
 - rom [epr-17740.bin] missing"
suzuk8h2;;Suzuka 8 Hours 2 (World);1993;matches;"matches"
tapper;;Tapper (Budweiser);1983;incompatible;"1 differences (incompatible): 
 - rom [5784] missing"
tdfever;;TouchDown Fever;1987;matches;"matches"
tekken3;;Tekken 3 (TET1/VER.E1);1996;matches;"matches"
term2;;Terminator 2 - Judgment Day (rev LA3 03/27/92);1991;matches;"matches"
tmnt22p;tmnt2;Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver UDA);1991;incompatible;"8 differences (incompatible): 
 - rom [b01] missing
 - rom [b12] missing
 - rom [b11] missing
 - rom [b09] missing
 - rom [b10] missing
 - rom [b07] missing
 - rom [b08] missing
 - rom [063b06] missing"
tmntu;tmnt;Teenage Mutant Ninja Turtles (US 4 Players, set 1);1989;incompatible;"12 differences (incompatible): 
 - rom [963-e20.g13] missing
 - rom [963-a28.h27] missing
 - rom [963-a29.k27] missing
 - rom [963-a17.h4] missing
 - rom [963-a18.h6] missing
 - rom [963-a15.k4] missing
 - rom [963-a16.k6] missing
 - rom [963-a30.g7] missing
 - rom [963-a31.g19] missing
 - rom [963-a26.c13] missing
 - rom [963-a27.d18] missing
 - rom [963-a25.d5] missing"
tnk3;;T.N.K. III (US);1985;matches;"matches"
toki;;Toki (World set 1);1989;compatible;"36 differences (compatible): 
 - rom [tokijp.004] unnecessary
 - rom [tokijp.006] unnecessary
 - rom [4c.10k] unnecessary
 - rom [toki.e9] unnecessary
 - rom [toki.e8] unnecessary
 - rom [toki.e7] unnecessary
 - rom [toki.e6] unnecessary
 - rom [toki.e5] unnecessary
 - rom [toki.e40] unnecessary
 - rom [toki.e38] unnecessary
 - rom [toki.e36] unnecessary
 - rom [toki.e34] unnecessary
 - rom [toki.e32] unnecessary
 - rom [toki.e30] unnecessary
 - rom [toki.e3] unnecessary
 - rom [toki.e28] unnecessary
 - rom [toki.e26] unnecessary
 - rom [toki.e25] unnecessary
 - rom [toki.e24] unnecessary
 - rom [toki.e23] unnecessary
 - rom [toki.e22] unnecessary
 - rom [toki.e21] unnecessary
 - rom [toki.e20] unnecessary
 - rom [toki.e19] unnecessary
 - rom [toki.e18] unnecessary
 - rom [toki.e17] unnecessary
 - rom [toki.e16] unnecessary
 - rom [toki.e1] unnecessary
 - rom [toki.e14] unnecessary
 - rom [toki.e13] unnecessary
 - rom [toki.e12] unnecessary
 - rom [toki.e11] unnecessary
 - rom [toki.e10] unnecessary
 - rom [toki.e15] unnecessary
 - rom [6b.10m] unnecessary
 - rom [14.10k] unnecessary"
trisport;;Tri-Sports;1989;matches;"matches"
tturfu;tturf;Tough Turf (set 1, US, 8751 317-0099);1989;incompatible;"12 differences (incompatible): 
 - rom [12268.a14] missing
 - rom [12269.a15] missing
 - rom [12270.a16] missing
 - rom [12276.b4] missing
 - rom [12280.b8] missing
 - rom [12277.b3] missing
 - rom [12281.b7] missing
 - rom [12278.b2] missing
 - rom [12282.b6] missing
 - rom [12279.b1] missing
 - rom [12283.b5] missing
 - rom [317-0099.bin] missing"
tutstomb;;Tut's Tomb;1996;matches;"matches"
twincobr;;Twin Cobra (World);1987;matches;"matches"
twocrude;cbuster;Two Crude (US);1990;incompatible;"10 differences (incompatible): 
 - rom [fu11-.rom] missing
 - rom [mab-00] missing
 - rom [fu05-.rom] missing
 - rom [fu06-.rom] missing
 - rom [mab-01] missing
 - rom [mab-02] missing
 - rom [mab-03] missing
 - rom [fu12-.rom] missing
 - rom [fu13-.rom] missing
 - rom [mb7114h.18e] missing"
uccops;;Undercover Cops (World);1992;compatible;"15 differences (compatible): 
 - rom [uca-sl0.bin] unnecessary
 - rom [uca-sh0.bin] unnecessary
 - rom [uca-o3.bin] unnecessary
 - rom [uca-o2.bin] unnecessary
 - rom [uca-o1.bin] unnecessary
 - rom [uca-o0.bin] unnecessary
 - rom [uca-l1.bin] unnecessary
 - rom [uca-l0.bin] unnecessary
 - rom [uca-h1.bin] unnecessary
 - rom [uca-h0.bin] unnecessary
 - rom [uca-da.bin] unnecessary
 - rom [uca-c3.bin] unnecessary
 - rom [uca-c2.bin] unnecessary
 - rom [uca-c1.bin] unnecessary
 - rom [uca-c0.bin] unnecessary"
undrfire;;Under Fire (World);1993;matches;"matches"
vaportrx;;Vapor TRX;1998;matches;"matches"
vball;;U.S. Championship V'ball (set 1);1988;matches;"matches"
victroad;;Victory Road;1986;matches;"matches"
vigilant;;Vigilante (World);1988;matches;"matches"
viper;;Viper;1988;matches;"matches"
vsav;;Vampire Savior: The Lord of Vampire (Euro 970519);1997;matches;"matches"
wb3;;Wonder Boy III - Monster Lair (set 5, World, System 16B, 8751 317-0098);1988;incompatible;"1 differences (incompatible): 
 - rom [317-0098.bin] missing"
wbeachvl;;World Beach Volley (set 1);1995;matches;"matches"
wbml;;Wonder Boy in Monster Land (Japan New Ver.);1987;incompatible;"12 differences (incompatible): 
 - rom [wbml.02] unnecessary
 - rom [wbml.09] unnecessary
 - rom [wbml.01] unnecessary
 - rom [wbml.08] unnecessary
 - rom [wbml.03] unnecessary
 - rom [wbml.10] unnecessary
 - rom [ep11031a.90] missing
 - rom [epr11032.91] missing
 - rom [epr11033.92] missing
 - rom [epr11034.4] missing
 - rom [epr11035.5] missing
 - rom [epr11036.6] missing"
wboy;;Wonder Boy (set 1, new encryption);1986;incompatible;"2 differences (incompatible): 
 - rom [epr7498a.3] unnecessary
 - rom [epr-7498.120] missing"
wjammers;;Windjammers / Flying Power Disc;1994;incompatible;"11 differences (incompatible): 
 - rom [sfix.sfx] missing
 - rom [sp-s2.sp1] missing
 - rom [sp-s.sp1] missing
 - rom [usa_2slt.bin] missing
 - rom [sp-e.sp1] missing
 - rom [asia-s3.rom] missing
 - rom [vs-bios.rom] missing
 - rom [sp-j2.rom] missing
 - rom [sp1.jipan.1024] missing
 - rom [sm1.sm1] missing
 - rom [000-lo.lo] missing"
wof;;Warriors of Fate (World 921002);1992;matches;"matches"
wwfwfstj;wwfwfest;WWF WrestleFest (Japan);1991;incompatible;"13 differences (incompatible): 
 - rom [WWFWFESJ.TXT] unnecessary
 - rom [31a11-2.42] missing
 - rom [wf_73a.rom] missing
 - rom [wf_09.rom] missing
 - rom [wf_08.rom] missing
 - rom [wf_11.rom] missing
 - rom [wf_10.rom] missing
 - rom [wf_12.rom] missing
 - rom [wf_13.rom] missing
 - rom [wf_15.rom] missing
 - rom [wf_14.rom] missing
 - rom [wf_01.rom] missing
 - rom [wf_02.rom] missing"
xenophob;;Xenophobe;1987;matches;"matches"
xmen6p;xmen;X-Men (6 Players ver ECB);1992;incompatible;"14 differences (incompatible): 
 - rom [xmenb04.bin] unnecessary
 - rom [xmenb05.bin] unnecessary
 - rom [065-ecb04.18g] missing
 - rom [065-ecb05.18j] missing
 - rom [065-a02.17g] missing
 - rom [065-a03.17j] missing
 - rom [065-a01.7b] missing
 - rom [065-a08.1l] missing
 - rom [065-a07.1h] missing
 - rom [065-a09.12l] missing
 - rom [065-a10.17l] missing
 - rom [065-a12.22h] missing
 - rom [065-a11.22l] missing
 - rom [065-a06.1d] missing"
xxmissio;;XX Mission;1986;matches;"matches"
xybots;;Xybots (rev 2);1987;matches;"matches"
zaxxon;;Zaxxon (set 1);1982;matches;"matches"
zeropnt2;;Zero Point 2;1999;matches;"matches"
zerozone;;Zero Zone;1993;matches;"matches"
zombraid;;Zombie Raid (US);1995;matches;"matches"
