# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
couplep|couple|The Couples (set 2)||Merit|1988||
cppicf||Peter Pepper's Ice Cream Factory (DECO Cassette, set 1)|Platform / Run Jump|Data East Corporation|1984|cppicf|cppicf
cppicf2|cppicf|Peter Pepper's Ice Cream Factory (DECO Cassette, set 2)|Platform / Run Jump|Data East Corporation|1984|cppicf|cppicf
cprobowl||Pro Bowling (DECO Cassette)|Sports / Bowling|Data East Corporation|1983|cprobowl|cprobowl
cprogolf||Tournament Pro Golf (DECO Cassette)|Sports / Golf|Data East Corporation|1981|cprogolf|cprogolf
cptennis||Pro Tennis (DECO Cassette)|Sports / Tennis|Data East Corporation|1982|cptennis|cptennis
cpzn1||ZN1|BIOS|Capcom|1995||
cpzn2||ZN2|BIOS|Capcom|1997||
cracksht||Crackshot (version 2.0)|Shooter / Gun|Exidy|1985|cracksht|cracksht
crash||Crash|Maze / Driving|Exidy|1979|crash|crash
crater||Crater Raider|Shooter / Driving|Bally Midway|1984|crater|crater
crazyblk|mrjong|Crazy Blocks|Puzzle / Maze|Kiwako (ECI license)|1983|mrjong|mrjong
crazycop|gbusters|Crazy Cop (Japan)|Shooter / Walking|Konami|1988|gbusters|gbusters
crazyfgt||Crazy Fight||Subsino|1996||
crbaloon||Crazy Balloon (set 1)|Maze|Taito Corporation|1980|crbaloon|crbaloon
crgolf||Crowns Golf (834-5419-04)|Sports / Golf|Nasco Japan|1984|crgolf|crgolf
crgolfa|crgolf|Crowns Golf (834-5419-03)|Sports / Golf|Nasco Japan|1984|crgolf|crgolf
crgolfb|crgolf|Crowns Golf (set 3)|Sports / Golf|Nasco Japan|1984|crgolf|crgolf
crgolfc|crgolf|Champion Golf|Sports / Golf|Nasco Japan|1984|crgolf|crgolf
crgolfhi||Crowns Golf in Hawaii||Nasco Japan|1985||
crimec||Crime City (World)|Platform / Shooter Scrolling|Taito Corporation Japan|1989|crimec|crimec
crimecj|crimec|Crime City (Japan)|Platform / Shooter Scrolling|Taito Corporation|1989|crimec|crimec
crimecu|crimec|Crime City (US)|Platform / Shooter Scrolling|Taito America Corporation|1989|crimec|crimec
crimfght||Crime Fighters (US 4 players)|Fighter / 2.5D|Konami|1989|crimfght|crimfght
critcrsh||Critter Crusher (EA 951204 V1.000)||Sega|1995||
crkdown||Crack Down (World, Floppy Based, FD1094 317-0058-04c)|Maze / Shooter Large|Sega|1989|crkdown|crkdown
crkdownj|crkdown|Crack Down (Japan, Floppy Based, FD1094 317-0058-04b Rev A)||Sega|1989|crkdown|crkdown
croquis|logicpro|Croquis (Germany)|Puzzle|Deniam|1996|logicpro|logicpro
crospang||Cross Pang|Puzzle|F2 System|1998|crospang|crospang
crossbow||Crossbow (version 2.0)|Shooter / Gun|Exidy|1983|crossbow|crossbow
crshrace||Lethal Crash Race (set 1)|Driving / Race|Video System Co.|1993|crshrace|crshrace
crsword||Crossed Swords (ALM-002)(ALH-002)|Fighter / Misc.|Alpha Denshi Co.|1991|crsword|crsword
cruisin|citycon|Cruisin|Platform / Run Jump|Jaleco (Kitkorp license)|1985|citycon|citycon
crush||Crush Roller (set 1)|Maze|Alpha Denshi Co. / Kural Samno Electric, Ltd.|1981|crush|crush
crush2|crush|Crush Roller (set 2)|Maze|Alpha Denshi Co. / Kural Esco Electric, Ltd.|1981|crush|crush
crush3|crush|Crush Roller (set 3)|Maze|Alpha Denshi Co. / Kural Electric, Ltd.|1981|crush|crush
crush4|crush|Crush Roller (set 4)||Alpha Denshi Co. / Kural TWT|1981|crush|crush
crusnexo||Cruis'n Exotica (version 2.4)|Unplayable|Midway|1999|crusnexo|crusnexo
crusnusa||Cruis'n USA (rev L4.1)|Driving / Race (chase view)|Midway|1994|crusnusa|crusnusa
crusnwld||Cruis'n World (rev L2.5)|Driving / Race (chase view)|Midway|1996|crusnwld|crusnwld
cryptklr||Crypt Killer (GQ420 UAA)|Shooter / Gun|Konami|1995|cryptklr|cryptklr
crysbios||Crystal System BIOS|BIOS|BrezzaSoft|2001||
crysking||The Crystal of Kings|Fighter / 2.5D|BrezzaSoft|2001||
crystal2||Crystal Gal 2 (Japan 860620)|Tabletop / Mahjong|Nichibutsu|1986|crystal2|crystal2
crystalg||Crystal Gal (Japan 860512)|Tabletop / Mahjong|Nichibutsu|1986|crystalg|crystalg
crzrally||Crazy Rally (set 1)|Driving / Race|Tecfri|1985|crzrally|crzrally
csclub||Capcom Sports Club (Euro 971017)|Sports / Multiplay|Capcom|1997|csclub|csclub
cscluba|csclub|Capcom Sports Club (Asia 970722)|Sports / Multiplay|Capcom|1997|csclub|csclub
csclubh|csclub|Capcom Sports Club (Hispanic 970722)|Sports / Multiplay|Capcom|1997|csclub|csclub
csclubj|csclub|Capcom Sports Club (Japan 970722)|Sports / Multiplay|Capcom|1997|csclub|csclub
cscrtry||Scrum Try (DECO Cassette, set 1)|Sports / Football Rugby|Data East Corporation|1984|cscrtry|cscrtry
cscrtry2|cscrtry|Scrum Try (DECO Cassette, set 2)|Sports / Football Rugby|Data East Corporation|1984|cscrtry|cscrtry
cshift||Chicken Shift|Puzzle|Bally/Sente|1984|cshift|cshift
cshooter||Cross Shooter (not encrypted)|Shooter / Flying Vertical|Seibu Kaihatsu (Taito license)|1987|cshooter|cshooter
csilver||Captain Silver (World)|Platform / Fighter Scrolling|Data East Corporation|1987|csilver|csilver
csk227it||Champion Skill (with Ability)||IGS|1969||
csk234it|csk227it|Champion Skill (Ability, Poker & Symbols)||IGS|1969||
csprint||Championship Sprint (rev 3)|Driving / Race Track|Atari Games|1986|csprint|csprint
csprint1|csprint|Championship Sprint (rev 1)|Driving / Race Track|Atari Games|1986|csprint|csprint
csprint2|csprint|Championship Sprint (rev 2)|Driving / Race Track|Atari Games|1986|csprint|csprint
csprintf|csprint|Championship Sprint (French)|Driving / Race Track|Atari Games|1986|csprint|csprint
csprintg|csprint|Championship Sprint (German, rev 2)|Driving / Race Track|Atari Games|1986|csprint|csprint
csprints|csprint|Championship Sprint (Spanish, rev 2)|Driving / Race Track|Atari Games|1986|csprint|csprint
cstlevna||Vs. Castlevania|Platform / Fighter Scrolling|Konami|1987|cstlevna|cstlevna
csuperas||Super Astro Fighter (DECO Cassette)|Shooter / Gallery|Data East Corporation|1981|csuperas|csuperas
csweetht|cdiscon1|Sweet Heart (DECO Cassette)|Maze|Data East Corporation|1982|cdiscon1|cdiscon1
ct2k3sp|kof2001|Crouching Tiger Hidden Dragon 2003 Super Plus (The King of Fighters 2001 bootleg)||bootleg|2003||
cterrani||Terranean (DECO Cassette)|Shooter / Gallery|Data East Corporation|1981|cterrani|cterrani
cthd2003|kof2001|Crouching Tiger Hidden Dragon 2003 (The King of Fighters 2001 bootleg)||bootleg|2003||
ctisland||Treasure Island (DECO Cassette, set 1)|Unplayable|Data East Corporation|1981|ctisland|ctisland
ctomaday||Captain Tomaday|Shooter / Flying Vertical|Visco|1999|ctomaday|ctomaday
ctornado||Tornado (DECO Cassette)|Shooter / Gallery|Data East Corporation|1982|ctornado|ctornado
ctribe||The Combatribes (US)|Fighter / 2.5D|Technos Japan|1990|ctribe|ctribe
ctribeb|ctribe|The Combatribes (bootleg set 1)|Fighter / 2.5D|bootleg|1990|ctribe|ctribe
ctrpllrp|puckman|Caterpillar Pacman Hack|Maze|hack|1982|puckman|puckman
ctsttape||Test Tape (DECO Cassette)|Misc.|Data East Corporation|1981|ctsttape|ctsttape
cubybop||Cuby Bop (location test)|Breakout|Hot-B|1969|cubybop|cubybop
cuebrick||Cue Brick (World version D)|Puzzle / Sliding|Konami|1989|cuebrick|cuebrick
cultname||Seimei-Kantei-Meimei-Ki Cult Name|Unplayable|I'Max|1996|cultname|cultname
cuoreuno||Cuore 1 (Italian)||C.M.C.|1996||
cupfinal||Taito Cup Finals (Ver 1.0O 1993/02/28)|Sports / Soccer|Taito Corporation Japan|1993|cupfinal|cupfinal
cupsoc||Seibu Cup Soccer (set 1)|Sports / Soccer|Seibu Kaihatsu|1992|cupsoc|cupsoc
curvebal||Curve Ball|Sports / Baseball|Mylstar|1984|curvebal|curvebal
cutieq||Cutie Q|Breakout|Namco|1979|cutieq|cutieq
cworld||Capcom World (Japan)|Quiz / Japanese|Capcom|1989|cworld|cworld
cworld2j||Adventure Quiz Capcom World 2 (Japan 920611)|Quiz / Japanese|Capcom|1992|cworld2j|cworld2j
cybattlr||Cybattler|Shooter / Flying Vertical|Jaleco|1993|cybattlr|cybattlr
cyberbal||Cyberball (rev 4)|Sports / Football Amer.|Atari Games|1988|cyberbal|cyberbal
cyberlip||Cyber-Lip (NGM-010)|Platform / Shooter Scrolling|SNK|1990|cyberlip|cyberlip
cybertnk||Cyber Tank (v1.4)||Coreland|1988||
cybots||Cyberbots: Fullmetal Madness (Euro 950424)|Fighter / Versus|Capcom|1995|cybots|cybots
cybotsj|cybots|Cyberbots: Fullmetal Madness (Japan 950420)|Fighter / Versus|Capcom|1995|cybots|cybots
cybotsu|cybots|Cyberbots: Fullmetal Madness (USA 950424)|Fighter / Versus|Capcom|1995|cybots|cybots
cybrcomm||Cyber Commando (Rev. CY1, Japan)|Unplayable|Namco|1994|cybrcomm|cybrcomm
cybrcycc||Cyber Cycles (Rev. CB2 Ver.C)|Unplayable|Namco|1995|cybrcycc|cybrcycc
cybsled||Cyber Sled (US)|Shooter / Driving (chase view)|Namco|1993|cybsled|cybsled
cyclshtg||Cycle Shooting|Shooter / Gun|Taito|1986|cyclshtg|cyclshtg
cyclwarr||Cycle Warriors|Fighter / Misc.|Tatsumi|1991||
cyvern||Cyvern (US)|Shooter / Flying Vertical|Kaneko|1998|cyvern|cyvern
czeroize||Zeroize (DECO Cassette)|Unplayable|Data East Corporation|1983|czeroize|czeroize
dacholer||Dacholer|Maze / Shooter Small|Nichibutsu|1983||
dadandrn|mmaulers|Kyukyoku Sentai Dadandarn (ver JAA)|Fighter / Versus Co-op|Konami|1993|mmaulers|mmaulers
daimakai|ghouls|Daimakaimura (Japan)|Platform / Fighter Scrolling|Capcom|1988|ghouls|ghouls
daioh||Daioh (set 1)|Shooter / Flying Vertical|Athena|1993|daioh|daioh
daireika||Mahjong Daireikai (Japan)|Unplayable|Jaleco / NMK|1989|daireika|daireika
dairesya|ironhors|Dai Ressya Goutou (Japan)|Platform / Shooter Scrolling|Konami (Kawakusu license)|1986|ironhors|ironhors
daisenpu|twinhawk|Daisenpu (Japan)|Shooter / Flying Vertical|Taito Corporation|1989|twinhawk|twinhawk
daiskiss||Daisu-Kiss (ver JAA)|Mini-Games|Konami|1996|daiskiss|daiskiss
daitorid||Daitoride|Puzzle / Match|Metro|1995|daitorid|daitorid
daiyogen||Mahjong Daiyogen (Japan)|Tabletop / Mahjong|Video System Co.|1990|daiyogen|daiyogen
dakkochn||DakkoChan House (MC-8123B, 317-5014)|Unplayable|White Board|1987|dakkochn|dakkochn
dambustr||Dambusters (US, set 1)|Unplayable|South West Research|1981||
danceyes||Dancing Eyes (Japan, DC1/VER.A)|Maze / Outline|Namco|1996|danceyes|danceyes
danchih||Danchi de Hanafuda (J 990607 V1.400)|Tabletop / Hanafuda|Altron (Tecmo license)|1999|danchih|danchih
dangar||Ufo Robo Dangar (12/1/1986)|Shooter / Flying Vertical|Nichibutsu|1986|dangar|dangar
dangar2|dangar|Ufo Robo Dangar (9/26/1986)|Shooter / Flying Vertical|Nichibutsu|1986|dangar|dangar
dangarb|dangar|Ufo Robo Dangar (bootleg)|Shooter / Flying Vertical|bootleg|1986|dangar|dangar
dangerz||Danger Zone|Shooter / Command|Cinematronics|1986|dangerz|dangerz
dangseed||Dangerous Seed (Japan)|Shooter / Flying Vertical|Namco|1989|dangseed|dangseed
dankuga|kaiserkn|Dan-Ku-Ga (Ver 0.0J 1994/12/13) (Prototype)|Fighter / Versus|Taito Corporation|1994|kaiserkn|kaiserkn
daraku||Daraku Tenshi - The Fallen Angels|Fighter / Versus|Psikyo|1998|daraku|daraku
darius||Darius (World)|Shooter / Flying Horizontal|Taito Corporation Japan|1986|darius|darius
darius2||Darius II (triple screen) (Japan)|Shooter / Flying Horizontal|Taito Corporation|1989|darius2|darius2
darius2d|darius2|Darius II (dual screen) (Japan, Rev 2)|Shooter / Flying Horizontal|Taito Corporation|1989|darius2|darius2
dariuse|darius|Darius (Extra) (Japan)|Shooter / Flying Horizontal|Taito Corporation|1986|darius|darius
dariusg||Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19)|Shooter / Flying Horizontal|Taito Corporation Japan|1994|dariusg|dariusg
dariusgj|dariusg|Darius Gaiden - Silver Hawk (Ver 2.5J 1994/09/19)|Shooter / Flying Horizontal|Taito Corporation|1994|dariusg|dariusg
dariusgu|dariusg|Darius Gaiden - Silver Hawk (Ver 2.5A 1994/09/19)|Shooter / Flying Horizontal|Taito America Corporation|1994|dariusg|dariusg
dariusgx|dariusg|Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack)|Shooter / Flying Horizontal|Taito Corporation|1994|dariusg|dariusg
dariusj|darius|Darius (Japan)|Shooter / Flying Horizontal|Taito Corporation|1986|darius|darius
dariuso|darius|Darius (Japan old version)|Shooter / Flying Horizontal|Taito Corporation|1986|darius|darius
darkadv|devilw|Dark Adventure|Shooter / Walking|Konami|1987|devilw|devilw
darkedge||Dark Edge (World)|Fighter / Versus|Sega|1992|darkedge|darkedge
jclub2||Jockey Club II (newer hardware)||Seta|1969||
darkhors|jclub2|Dark Horse (bootleg of Jockey Club II)||bootleg|2001||
darkmist||The Lost Castle In Darkmist||Taito Corporation|1986||
darkplnt||Dark Planet|Shooter / Field|Stern Electronics|1982|darkplnt|darkplnt
darkseal||Dark Seal (World revision 3)|Maze / Fighter|Data East Corporation|1990|darkseal|darkseal
darktowr||Dark Tower|Platform / Run Jump|The Game Room|1992|darktowr|darktowr
darkwar||Dark Warrior|Shooter / Gallery|Century Electronics|1981|darkwar|darkwar
darwin||Darwin 4078 (Japan)|Shooter / Flying Vertical|Data East Corporation|1986|darwin|darwin
dassault|thndzone|Desert Assault (US)|Shooter / Walking|Data East Corporation|1991|thndzone|thndzone
dayto2pe||Daytona USA 2 Power Edition||Sega|1998||
daytona||Daytona USA (Japan, Revision A)|Unplayable|Sega|1993||
daytona2||Daytona USA 2 (Revision A)|Unplayable|Sega|1998||
daytonam|daytona|Daytona USA (Japan, To The MAXX)|Unplayable|Sega|1993||
daytonat|daytona|Daytona USA (Japan, Turbo hack)|Unplayable|Sega|1993||
dazzler||Dazzler|Maze|Century Electronics|1982|dazzler|dazzler
dblaxle||Double Axle (US)|Driving / Race (chase view)|Taito America Corporation|1991|dblaxle|dblaxle
dblewing||Double Wings|Unplayable|Mitchell|1993|dblewing|dblewing
dblplay||Super Baseball Double Play Home Run Derby|Sports / Baseball|Leland Corp. / Tradewest|1987|dblplay|dblplay
dblpoint||Double Point|Puzzle / Match|Min Corp.|1995|dblpoint|dblpoint
dbreed||Dragon Breed (M81 PCB version)|Shooter / Flying Horizontal|Irem|1989|dbreed|dbreed
dbz||Dragonball Z (rev B)|Fighter / Versus|Banpresto|1993|dbz|dbz
dbz2||Dragonball Z 2 - Super Battle|Fighter / Versus|Banpresto|1994|dbz2|dbz2
dbzvrvs||Dragon Ball Z V.R.V.S. (Japan)|Fighter / Versus|Sega / Banpresto|1994|dbzvrvs|dbzvrvs
dcclub||Dynamic Country Club (World, ROM Based)|Sports / Golf|Sega|1991|dcclub|dcclub
dcclubfd|dcclub|Dynamic Country Club (US, Floppy Based, FD1094 317-0058-09d)|Sports / Golf|Sega|1991|dcclub|dcclub
dcheese||Double Cheese|Unplayable|HAR|1993|dcheese|dcheese
dcon||D-Con|Shooter / Command|Success|1992|dcon|dcon
dday||D-Day|Shooter / Gallery|Olympia|1982|dday|dday
ddayc|dday|D-Day (Centuri)|Shooter / Gallery|Olympia (Centuri license)|1982|dday|dday
ddayjlc||D-Day (Jaleco set 1)|Unplayable|Jaleco|1984|ddayjlc|ddayjlc
ddayjlca|ddayjlc|D-Day (Jaleco set 2)||Jaleco|1984|ddayjlc|ddayjlc
ddcrew||D. D. Crew (World, 3 Players, FD1094 317-0190)|Fighter / 2.5D|Sega|1991|ddcrew|ddcrew
ddcrew1|ddcrew|D. D. Crew (World, 4 Players, FD1094 317-0187)|Fighter / 2.5D|Sega|1991|ddcrew|ddcrew
ddcrew2|ddcrew|D. D. Crew (World, 2 Players, FD1094 317-0184)|Fighter / 2.5D|Sega|1991|ddcrew|ddcrew
ddcrewj|ddcrew|D. D. Crew (Japan, 2 Players, FD1094 317-0182)||Sega|1991|ddcrew|ddcrew
ddcrewu|ddcrew|D. D. Crew (US, 4 Players, FD1094 317-0186)|Fighter / 2.5D|Sega|1991|ddcrew|ddcrew
ddenlovj||Don Den Lover Vol. 1 - Shiro Kuro Tsukeyo! (Japan)||Dynax|1995||
ddenlovr|ddenlovj|Don Den Lover Vol. 1 (Hong Kong)|Tabletop / Othello|Dynax|1996|ddenlovr|ddenlovr
ddonpach||DoDonPachi (International, Master Ver. 97/02/05)|Shooter / Flying Vertical|Cave (Atlus license)|1997|ddonpach|ddonpach
ddp2||DoDonPachi II - Bee Storm (Japan, ver. 102)|Shooter / Flying Vertical|IGS|2001||
ddragon||Double Dragon (Japan)|Fighter / 2.5D|Technos Japan|1987|ddragon|ddragon
ddragon2||Double Dragon II - The Revenge (World)|Fighter / 2.5D|Technos Japan|1988|ddragon2|ddragon2
ddragon3||Double Dragon 3 - The Rosetta Stone (US)|Fighter / 2.5D|Technos Japan|1990|ddragon3|ddragon3
ddragonb|ddragon|Double Dragon (bootleg with HD6309)|Fighter / 2.5D|bootleg|1987|ddragon|ddragon
ddragonu|ddragon|Double Dragon (US set 1)|Fighter / 2.5D|Technos Japan (Taito America license)|1987|ddragon|ddragon
ddragonw|ddragon|Double Dragon (World set 1)|Fighter / 2.5D|Technos Japan (Taito license)|1987|ddragon|ddragon
ddream95|hoops96|Dunk Dream '95 (Japan 1.4, EAM)||Data East Corporation|1995||
ddribble||Double Dribble|Sports / Basketball|Konami|1986|ddribble|ddribble
ddsom||Dungeons & Dragons: Shadow over Mystara (Euro 960619)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddsoma|ddsom|Dungeons & Dragons: Shadow over Mystara (Asia 960619)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddsomj|ddsom|Dungeons & Dragons: Shadow over Mystara (Japan 960619)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddsomjr1|ddsom|Dungeons & Dragons: Shadow over Mystara (Japan 960206)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddsomr1|ddsom|Dungeons & Dragons: Shadow over Mystara (Euro 960223)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddsomr2|ddsom|Dungeons & Dragons: Shadow over Mystara (Euro 960209)||Capcom|1996|ddsom|ddsom
ddsomu|ddsom|Dungeons & Dragons: Shadow over Mystara (USA 960619)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddsomur1|ddsom|Dungeons & Dragons: Shadow over Mystara (USA 960209)|Fighter / 2.5D|Capcom|1996|ddsom|ddsom
ddtod||Dungeons & Dragons: Tower of Doom (Euro 940412)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddtoda|ddtod|Dungeons & Dragons: Tower of Doom (Asia 940113)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddtodh|ddtod|Dungeons & Dragons: Tower of Doom (Hispanic 940412)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddtodj|ddtod|Dungeons & Dragons: Tower of Doom (Japan 940412)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddtodjr1|ddtod|Dungeons & Dragons: Tower of Doom (Japan 940125)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddtodr1|ddtod|Dungeons & Dragons: Tower of Doom (Euro 940113)||Capcom|1993|ddtod|ddtod
ddtodu|ddtod|Dungeons & Dragons: Tower of Doom (USA 940125)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddtodur1|ddtod|Dungeons & Dragons: Tower of Doom (USA 940113)|Fighter / 2.5D|Capcom|1993|ddtod|ddtod
ddungeon||Dangerous Dungeons (set 1)|Maze / Digging|The Game Room|1992|ddungeon|ddungeon
ddux||Dynamite Dux (set 2, FD1094 317-0096)|Fighter / 3D|Sega|1988||
ddux1|ddux|Dynamite Dux (set 1, 8751 317-0095)||Sega|1988||
dduxbl|ddux|Dynamite Dux (bootleg)|Fighter / 3D|bootleg (Datsu)|1989|dduxbl|dduxbl
deadang||Dead Angle|Shooter / 1st Person|Seibu Kaihatsu|1988|deadang|deadang
deadconx||Dead Connection (World)|Shooter / Field|Taito Corporation Japan|1992|deadconx|deadconx
deadeye||Dead Eye|Shooter / Gallery|Meadows Games, Inc.|1978|deadeye|deadeye
dealer||The Dealer|Unplayable|Epos Corporation|1984|dealer|dealer
deathbrd|mutantf|Death Brade (Japan ver JM-3)|Fighter / Versus|Data East Corporation|1992|mutantf|mutantf
decathlt||Decathlete (JUET 960709 V1.001)|Sports / Track & Field|Sega|1996|decathlt|decathlt
decocass||DECO Cassette System|BIOS|Data East Corporation|1981||
defcmnd|defender|Defense Command (Defender bootleg)|Shooter / Flying|bootleg|1980|defender|defender
defence|defender|Defence Command (Defender bootleg)|Shooter / Flying|bootleg (Outer Limits)|1981|defender|defender
defender||Defender (Red label)|Shooter / Flying|Williams|1980|defender|defender
defense|sdi|Defense (System 16B, FD1089A 317-0028)|Shooter / Command|Sega|1987|sdi|sdi
defndjeu|defender|Defender (bootleg)|Shooter / Flying|bootleg (Jeutel)|1980|defender|defender
deltrace|omegrace|Delta Race|Shooter / Field|bootleg (Allied Leisure)|1981|omegrace|omegrace
demndrgn||Demons & Dragons (prototype)|Shooter / Field|Bally Midway|1982||
demoderb||Demolition Derby|Driving|Bally Midway|1984|demoderb|demoderb
demoderm|demoderb|Demolition Derby (2-Player Mono Board Version)|Driving|Bally Midway|1984|demoderb|demoderb
demon||Demon|Shooter / Field|Rock-Ola|1982|demon|demon
demoneye||Demoneye-X|Shooter / Gallery|Irem|1981|demoneye|demoneye
demonwld||Demon's World / Horror Story (set 1)|Platform / Shooter Scrolling|Toaplan|1990|demonwld|demonwld
denjinmk||Denjin Makai|Unplayable|Banpresto|1993|denjinmk|denjinmk
depthch||Depthcharge|Shooter / Gallery|Gremlin|1977|depthch|depthch
deroon||Deroon DeroDero|Unplayable|Tecmo|1995|deroon|deroon
desert||Desert Tank|Unplayable|Sega / Martin Marietta|1994||
desertbr||Desert Breaker (World, FD1094 317-0196)|Shooter / Walking|Sega|1992||
desertgu||Desert Gun|Shooter / Gun|Midway|1977|desertgu|desertgu
desertwr||Desert War / Wangan Sensou|Shooter / Flying Vertical|Jaleco|1995|desertwr|desertwr
desterth|lrescue|Destination Earth|Maze / Shooter Small|bootleg|1979|lrescue|lrescue
destroyr||Destroyer (version O2)|Shooter / Gallery|Atari|1977|destroyr|destroyr
detatwin|blswhstl|Detana!! Twin Bee (Japan ver. J)|Shooter / Flying Vertical|Konami|1991|blswhstl|blswhstl
devilfsg|devilfsh|Devil Fish (Galaxian hardware, bootleg?)|Maze|Vision / Artic|1984|devilfsh|devilfsh
devilfsh||Devil Fish|Maze|Artic|1982|devilfsh|devilfsh
devilw||Devil World|Shooter / Walking|Konami|1987|devilw|devilw
devstors||Devastators (ver. Z)|Shooter / 3rd Person|Konami|1988|devstors|devstors
devzone||Devil Zone|Shooter / Gallery|Universal|1980|devzone|devzone
devzone2|devzone|Devil Zone (easier)|Shooter / Gallery|Universal|1980|devzone|devzone
dfeveron|feversos|Dangan Feveron (Japan, Ver. 98/09/17)|Shooter / Flying Vertical|Cave (Nihon System license)|1998|dfeveron|dfeveron
dharma||Dharma Doujou|Puzzle|Metro|1994|dharma|dharma
diamond||Diamond Run|Maze / Digging|KH Video|1989|diamond|diamond
diehard||Die Hard Arcade (UET 960515 V1.000)|Fighter / 2.5D|Sega|1996|diehard|diehard
dietgo||Diet Go Go (Euro v1.1 1992.09.26)|Unplayable|Data East Corporation|1992|dietgo|dietgo
dietgoe|dietgo|Diet Go Go (Euro v1.1 1992.08.04)|Unplayable|Data East Corporation|1992|dietgo|dietgo
dietgoj|dietgo|Diet Go Go (Japan v1.1 1992.09.26)||Data East Corporation|1992|dietgo|dietgo
dietgou|dietgo|Diet Go Go (USA v1.1 1992.09.26)||Data East Corporation|1992|dietgo|dietgo
digdug||Dig Dug (rev 2)|Maze / Digging|Namco|1982|digdug|digdug
digdug2||Dig Dug II (New Ver.)|Fighter / Field|Namco|1985|digdug2|digdug2
digdug2o|digdug2|Dig Dug II (Old Ver.)|Fighter / Field|Namco|1985|digdug2|digdug2
digdugat|digdug|Dig Dug (Atari, rev 2)|Maze / Digging|Namco (Atari license)|1982|digdug|digdug
digger||Digger|Maze|Sega|1980|digger|digger
diggerc||Digger (CVS)|Maze / Digging|Century Electronics|1982|diggerc|diggerc
dimahoo||Dimahoo (Euro 000121)|Shooter / Flying Vertical|Eighting / Raizing (Capcom license)|2000|dimahoo|dimahoo
dingo||Dingo|Maze|Ashby Computers and Graphics Ltd. (Jaleco license)|1983|dingo|dingo
dingoe|dingo|Dingo (encrypted)|Unplayable|Ashby Computers and Graphics Ltd.|1983|dingoe|dingoe
dino||Cadillacs and Dinosaurs (World 930201)|Fighter / 2.5D|Capcom|1993|dino|dino
dinoj|dino|Cadillacs: Kyouryuu Shin Seiki (Japan 930201)|Fighter / 2.5D|Capcom|1993|dino|dino
dinorex||Dino Rex (World)|Fighter / Versus|Taito Corporation Japan|1992|dinorex|dinorex
dinorexj|dinorex|Dino Rex (Japan)|Fighter / Versus|Taito Corporation|1992|dinorex|dinorex
dinorexu|dinorex|Dino Rex (US)|Fighter / Versus|Taito America Corporation|1992|dinorex|dinorex
dinou|dino|Cadillacs and Dinosaurs (USA 930201)|Fighter / 2.5D|Capcom|1993|dino|dino
dirtdvls||Dirt Devils (set 1) (Revision A)|Unplayable|Sega|1998||
dirtfoxj||Dirt Fox (Japan)|Driving / Race|Namco|1989|dirtfoxj|dirtfoxj
disco||Disco No.1|Maze|Data East|1982|disco|disco
discof|disco|Disco No.1 (Rev.F)|Maze|Data East|1982|disco|disco
diverboy||Diver Boy|Misc.|Electronic Devices Italy|1992|diverboy|diverboy
djboy||DJ Boy (set 1)|Fighter / 2.5D|Kaneko (American Sammy license)|1989|djboy|djboy
djboyj|djboy|DJ Boy (Japan)||Kaneko (Sega license)|1989|djboy|djboy
dkgensan|hharry|Daiku no Gensan (Japan, M82)|Platform / Fighter Scrolling|Irem|1990|hharry|hharry
dkong||Donkey Kong (US set 1)|Platform / Run Jump|Nintendo of America|1981|dkong|dkong
dkong3||Donkey Kong 3 (US)|Platform / Run Jump|Nintendo of America|1983|dkong3|dkong3
dkong3b|dkong3|Donkey Kong 3 (bootleg on Donkey Kong Jr. hardware)|Platform / Run Jump|bootleg|1984|dkong3|dkong3
dkong3j|dkong3|Donkey Kong 3 (Japan)|Platform / Run Jump|Nintendo|1983|dkong3|dkong3
dkongjo|dkong|Donkey Kong (Japan set 2)|Platform / Run Jump|Nintendo|1981|dkong|dkong
dkongjo1|dkong|Donkey Kong (Japan set 3)|Platform / Run Jump|Nintendo|1981|dkong|dkong
dkongjr||Donkey Kong Junior (US)|Platform / Run Jump|Nintendo of America|1982|dkongjr|dkongjr
dkongjrb|dkongjr|Donkey Kong Jr. (bootleg)|Platform / Run Jump|bootleg|1982|dkongjr|dkongjr
dkongjrj|dkongjr|Donkey Kong Jr. (Japan)|Platform / Run Jump|Nintendo|1982|dkongjr|dkongjr
